id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27934,Nice room with superb city view,120437,Nuttee,,Ratchathewi,13.75983,100.54134,Entire home/apt,1595,15,65,2024-09-17,0.40,1,362,0,
27979,"Easy going landlord,easy place",120541,Emy,,Bang Na,13.66818,100.61674,Private room,,1,0,,,2,0,0,
28745,modern-style apartment in Bangkok,123784,Familyroom,,Bang Kapi,13.75232,100.62402,Private room,,60,0,,,1,0,0,
47516,Beautiful waterfront house,214456,Anuradha,,Don Mueang,13.92726,100.58529,Entire home/apt,4188,3,0,,,1,365,0,
48736,Condo with Chaopraya River View,222005,Athitaya,,Rat Burana,13.68556,100.49535,Private room,1450,14,1,2014-02-03,0.01,1,365,0,
55681,Sathorn Terrace Apartment(61),263049,Tor,,Bang Rak,13.71934,100.5176,Private room,1368,2,39,2025-09-04,0.22,4,365,5,
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,,Phaya Thai,13.79152,100.53982,Private room,,1,0,,,1,0,0,
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,,Khlong Toei,13.73378,100.56303,Entire home/apt,5600,28,147,2020-01-07,0.86,1,302,0,
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1147,30,0,,,1,365,0,
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1416,1,6,2024-04-15,0.19,3,364,0,
145343,Boutique Rooms Near Bangkok Airport,703944,,,Lat Krabang,13.721868,100.771713,Private room,1080,1,75,2025-07-07,0.57,1,363,4,
156583,Studio near Chulalongkorn University/Samyan,58920,Chindawan,,Bang Rak,13.7285,100.52313,Entire home/apt,1248,7,77,2025-08-22,0.46,1,54,5,
159355,Nice and Cozy Room @ Sathorn Area,764690,Wirat,,Yan na wa,13.71363,100.54652,Entire home/apt,,2,0,,,1,0,0,
169285,Stay at the ROARING RATCHADA!,806600,Frances,,Huai Khwang,13.78118,100.58349,Private room,,1,0,,,1,0,0,
169514,2br apt in Sukhumvit Asoke near BTS,729617,Kanchuya,,Vadhana,13.74464,100.55784,Entire home/apt,1498,90,0,,,1,365,0,
172332,Tranquility found in busy Bangkok near new skytran,822284,Rae And Charlie,,Bang Sue,13.83148,100.52102,Entire home/apt,1170,3,28,2025-02-23,0.18,7,177,3,
241416,Sukhumvit52 near SkyTrain to BkkCBD,960892,Vajirune,,Phra Khanong,13.70169,100.5977,Private room,2094,3,0,,,1,365,0,
296960,Luxury&Comfy wthWifi walk-distance to Subwy-Malls,175729,Mitchell William,,Chatu Chak,13.80926,100.56892,Entire home/apt,1073,358,56,2019-08-04,0.34,1,365,0,
313459,One Bed Room at Sukumvit 50 Bangkok,1611711,Nichapat,,Khlong Toei,13.71513,100.5683,Private room,,1,0,,,1,0,0,
320014,2-BR condo near BTS on Sukhumvit Rd,843854,Anshera,,Khlong Toei,13.7281,100.57318,Entire home/apt,2104,30,74,2025-02-13,0.45,1,179,2,
384924,Oasis in the heart of Bangkok,1667508,Siriwipa,,Ratchathewi,13.74902,100.55652,Entire home/apt,,90,96,2024-10-31,0.61,1,101,1,
385130,Lumphini 4 City Center | Private Bath | AC,1927968,Ivan,,Sathon,13.720548,100.54697,Entire home/apt,665,1,409,2025-08-16,2.48,63,275,8,
385278,Nice River View Condominium 30 sq.m,1928343,Chanvit,,Rat Burana,13.68426,100.49841,Private room,,1,0,,,1,0,0,
385979,"Clean,cozy,convenient APT at BTS",1681901,Pornpan,,Khlong San,13.71905,100.50414,Entire home/apt,1450,30,81,2023-04-07,0.50,2,260,0,
390611,Sukhumvit apartment near Nana BTS,807406,Hollis,,Khlong Toei,13.74052,100.55237,Entire home/apt,725,2,230,2025-08-30,1.41,1,271,19,
393066,SKY 18 - 99 feet in the sky,1927968,Ivan,,Sathon,13.720785,100.547241,Entire home/apt,680,1,478,2025-08-24,2.98,63,361,14,
397449,Cozy Studio Apt near Skytrain.(72/74),263049,Tor,,Sathon,13.71782,100.51622,Private room,1364,1,47,2024-12-17,0.29,4,365,2,
