FIPS	year	state	state2	county	candidate	party	candidatevotes	income	population	LND010200D	EDU695209D	EDU600209D	POP010210D	POP220210D	POP250210D	POP320210D	POP400210D	POPESTIMATE	BIRTHS	DEATHS	DOMESTICMIG	INTERNATIONALMIG	region
1001	2000	Alabama	AL	Autauga	Al Gore	democrat	4942	23584	44021	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2000	Alabama	AL	Autauga	George W. Bush	republican	11993	23584	44021	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2004	Alabama	AL	Autauga	John Kerry	democrat	4758	27745	48366	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2004	Alabama	AL	Autauga	George W. Bush	republican	15196	27745	48366	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2008	Alabama	AL	Autauga	Barack Obama	democrat	6093	33245	53277	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2008	Alabama	AL	Autauga	John McCain	republican	17403	33245	53277	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2012	Alabama	AL	Autauga	Barack Obama	democrat	6363	35161	55558	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2012	Alabama	AL	Autauga	Mitt Romney	republican	17379	35161	55558	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2016	Alabama	AL	Autauga	Hillary Clinton	democrat	5936	39022	56954	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2016	Alabama	AL	Autauga	Donald Trump	republican	18172	39022	56954	604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2020	Alabama	AL	Autauga County	Donald Trump	republican	19838	45068	58915	604.45	2285	31469	54571	42855	9643	474	1310	58915	162	176	100	0	south
1001	2020	Alabama	AL	Autauga County	Joe Biden	democrat	7503	45068	58915	604.45	2285	31469	54571	42855	9643	474	1310	58915	162	176	100	0	south
1001	2024	Alabama	AL	Autauga County	Donald Trump	republican	20447			604.45	2285	31469	54571	42855	9643	474	1310						south
1001	2024	Alabama	AL	Autauga County	Kamala Harris	democrat	7429			604.45	2285	31469	54571	42855	9643	474	1310						south
1003	2000	Alabama	AL	Baldwin	Al Gore	democrat	13997	26683	141342	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2000	Alabama	AL	Baldwin	George W. Bush	republican	40872	26683	141342	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2004	Alabama	AL	Baldwin	John Kerry	democrat	15599	30671	156266	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2004	Alabama	AL	Baldwin	George W. Bush	republican	52971	30671	156266	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2008	Alabama	AL	Baldwin	Barack Obama	democrat	19386	36220	175827	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2008	Alabama	AL	Baldwin	John McCain	republican	61271	36220	175827	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2012	Alabama	AL	Baldwin	Barack Obama	democrat	18424	38307	190941	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2012	Alabama	AL	Baldwin	Mitt Romney	republican	66016	38307	190941	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2016	Alabama	AL	Baldwin	Hillary Clinton	democrat	18458	43012	210004	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2016	Alabama	AL	Baldwin	Donald Trump	republican	72883	43012	210004	2026.93	10855	118585	182265	156153	17105	1348	7992						south
1003	2020	Alabama	AL	Baldwin County	Donald Trump	republican	83544	50895	233227	2026.93	10855	118585	182265	156153	17105	1348	7992	233227	560	602	1613	11	south
